,tweet,text_cleaned,text_normal,text_tokenize,text_stemming,text_filtering
0,Saya teringat novel karya Pramoedya Ananta Toer tersebut  sehubungan dengan prokontra disahkannya RKUHP menjadi Und… https://t.co/or12BaHCNr,saya teringat novel karya pramoedya ananta toer tersebut sehubungan dengan prokontra disahkannya rkuhp menjadi und cowok orbahcnr,saya teringat novel karya pramoedya ananta toer tersebut sehubungan dengan prokontra disahkannya rkuhp menjadi und cowok orbahcnr,"['saya', 'teringat', 'novel', 'karya', 'pramoedya', 'ananta', 'toer', 'tersebut', 'sehubungan', 'dengan', 'prokontra', 'disahkannya', 'rkuhp', 'menjadi', 'und', 'cowok', 'orbahcnr']","['saya', 'ingat', 'novel', 'karya', 'pramoedya', 'ananta', 'toer', 'sebut', 'hubung', 'dengan', 'prokontra', 'sah', 'rkuhp', 'jadi', 'und', 'cowok', 'orbahcnr']","['novel', 'karya', 'pramoedya', 'ananta', 'toer', 'hubung', 'prokontra', 'sah', 'rkuhp', 'und', 'cowok', 'orbahcnr']"
1,@msaid_didu wah bisa kena RKUHP mereka itu karena berkali kali menyebut dan menghina,msaid_didu wah bisa kena rkuhp mereka itu karena berkali kali menyebut dan menghina,msaid_didu wah bisa kena rkuhp mereka itu karena berkali kali menyebut dan menghina,"['msaid_didu', 'wah', 'bisa', 'kena', 'rkuhp', 'mereka', 'itu', 'karena', 'berkali', 'kali', 'menyebut', 'dan', 'menghina']","['msaid didu', 'wah', 'bisa', 'kena', 'rkuhp', 'mereka', 'itu', 'karena', 'kali', 'kali', 'sebut', 'dan', 'hina']","['msaid didu', 'kena', 'rkuhp', 'kali', 'kali', 'hina']"
2,"""RKUHP kacau balaukan DEMOKRASI resmi disahkan!!!
Rakyat beduka atas matinya Demokrasi sejak RKUHP disahkan secara… https://t.co/OO65nLzcik",rkuhp kacau balaukan demokrasi resmi disahkan rakyat beduka atas matinya demokrasi sejak rkuhp disahkan secara cowok oonlzcik,rkuhp kacau balaukan demokrasi resmi disahkan rakyat beduka atas matinya demokrasi sejak rkuhp disahkan secara cowok oonlzcik,"['rkuhp', 'kacau', 'balaukan', 'demokrasi', 'resmi', 'disahkan', 'rakyat', 'beduka', 'atas', 'matinya', 'demokrasi', 'sejak', 'rkuhp', 'disahkan', 'secara', 'cowok', 'oonlzcik']","['rkuhp', 'kacau', 'balau', 'demokrasi', 'resmi', 'sah', 'rakyat', 'beduka', 'atas', 'mati', 'demokrasi', 'sejak', 'rkuhp', 'sah', 'cara', 'cowok', 'oonlzcik']","['rkuhp', 'kacau', 'balau', 'demokrasi', 'resmi', 'sah', 'rakyat', 'beduka', 'mati', 'demokrasi', 'rkuhp', 'sah', 'cowok', 'oonlzcik']"
3,"Seperti apa perlawanan penolakan pengesahan RKUHP di media sosial?
#MajalahTempo 
https://t.co/yHD84duaO7",seperti apa perlawanan penolakan pengesahan rkuhp di media sosial majalahtempo cowok yhdduao,seperti apa perlawanan penolakan pengesahan rkuhp di media sosial majalahtempo cowok yhdduao,"['seperti', 'apa', 'perlawanan', 'penolakan', 'pengesahan', 'rkuhp', 'di', 'media', 'sosial', 'majalahtempo', 'cowok', 'yhdduao']","['seperti', 'apa', 'lawan', 'tolak', 'kesah', 'rkuhp', 'di', 'media', 'sosial', 'majalahtempo', 'cowok', 'yhdduao']","['lawan', 'tolak', 'kesah', 'rkuhp', 'media', 'sosial', 'majalahtempo', 'cowok', 'yhdduao']"
4,"Kelompok penolak pengesahan RKUHP gencar membuat konten tentang pasal-pasal bermasalah.

Namun, aksi mereka dilawan… https://t.co/D6UdCcruyb",kelompok penolak pengesahan rkuhp gencar membuat konten tentang pasal pasal bermasalah namun aksi mereka dilawan cowok dudccruyb,kelompok penolak pengesahan rkuhp gencar membuat konten tentang pasal pasal bermasalah namun aksi mereka dilawan cowok dudccruyb,"['kelompok', 'penolak', 'pengesahan', 'rkuhp', 'gencar', 'membuat', 'konten', 'tentang', 'pasal', 'pasal', 'bermasalah', 'namun', 'aksi', 'mereka', 'dilawan', 'cowok', 'dudccruyb']","['kelompok', 'tolak', 'kesah', 'rkuhp', 'gencar', 'buat', 'konten', 'tentang', 'pasal', 'pasal', 'masalah', 'namun', 'aksi', 'mereka', 'lawan', 'cowok', 'dudccruyb']","['kelompok', 'tolak', 'kesah', 'rkuhp', 'gencar', 'konten', 'pasal', 'pasal', 'aksi', 'lawan', 'cowok', 'dudccruyb']"
5,"AAPI: Pengesahan RKUHP Dipaksakan

https://t.co/EaAbNwc9Px

https://t.co/Uy1A2IFe40
#tintamedia
🌟 Taati Allah dan R… https://t.co/tv9IXysTjt",aapi pengesahan rkuhp dipaksakan cowok eaabnwcpx cowok uyaife tintamedia taati allah dan cowok tvixystjt,aapi pengesahan rkuhp dipaksakan cowok eaabnwcpx cowok uyaife tintamedia taati allah dan cowok tvixystjt,"['aapi', 'pengesahan', 'rkuhp', 'dipaksakan', 'cowok', 'eaabnwcpx', 'cowok', 'uyaife', 'tintamedia', 'taati', 'allah', 'dan', 'cowok', 'tvixystjt']","['aapi', 'kesah', 'rkuhp', 'paksa', 'cowok', 'eaabnwcpx', 'cowok', 'uyaife', 'tintamedia', 'taat', 'allah', 'dan', 'cowok', 'tvixystjt']","['aapi', 'kesah', 'rkuhp', 'paksa', 'cowok', 'eaabnwcpx', 'cowok', 'uyaife', 'tintamedia', 'taat', 'allah', 'cowok', 'tvixystjt']"
6,"LBH Pelita Umat: Penolakan RKUHP Harus Disertai Penghapusan Pasal Serupa

https://t.co/QmvPoiEgNP… https://t.co/u5d7mmdS8s",lebih pelita umat penolakan rkuhp harus disertai penghapusan pasal serupa cowok qmvpoiegnp cowok udmmdss,lebih pelita umat penolakan rkuhp harus disertai penghapusan pasal serupa cowok qmvpoiegnp cowok udmmdss,"['lebih', 'pelita', 'umat', 'penolakan', 'rkuhp', 'harus', 'disertai', 'penghapusan', 'pasal', 'serupa', 'cowok', 'qmvpoiegnp', 'cowok', 'udmmdss']","['lebih', 'pelita', 'umat', 'tolak', 'rkuhp', 'harus', 'serta', 'hapus', 'pasal', 'rupa', 'cowok', 'qmvpoiegnp', 'cowok', 'udmmdss']","['pelita', 'umat', 'tolak', 'rkuhp', 'hapus', 'pasal', 'rupa', 'cowok', 'qmvpoiegnp', 'cowok', 'udmmdss']"
7,@abcdyougoblog Wkwk kaya nya mahasiswa ini semua blm tau ada rkuhp pelecehan seksual,abcdyougoblog tertawa kayak nya mahasiswa ini semua belum tahu ada rkuhp pelecehan seksual,abcdyougoblog tertawa kayak nya mahasiswa ini semua belum tahu ada rkuhp pelecehan seksual,"['abcdyougoblog', 'tertawa', 'kayak', 'nya', 'mahasiswa', 'ini', 'semua', 'belum', 'tahu', 'ada', 'rkuhp', 'pelecehan', 'seksual']","['abcdyougoblog', 'tertawa', 'kayak', 'nya', 'mahasiswa', 'ini', 'semua', 'belum', 'tahu', 'ada', 'rkuhp', 'leceh', 'seksual']","['abcdyougoblog', 'tertawa', 'kayak', 'nya', 'mahasiswa', 'rkuhp', 'leceh', 'seksual']"
8,"RT @juliusibrani: @ariel_heryanto @maxwalden_ Dont be fooled by the ""moral issue"".

Pasal Zina dlm RKUHP melanggar prinsip hukum dan HAM, s…",rt juliusibrani ariel_heryanto maxwalden_ dont be fooled by the moral issue pasal zina dalam rkuhp melanggar prinsip hukum dan ham,rt juliusibrani ariel_heryanto maxwalden_ dont be fooled by the moral issue pasal zina dalam rkuhp melanggar prinsip hukum dan ham,"['rt', 'juliusibrani', 'ariel_heryanto', 'maxwalden_', 'dont', 'be', 'fooled', 'by', 'the', 'moral', 'issue', 'pasal', 'zina', 'dalam', 'rkuhp', 'melanggar', 'prinsip', 'hukum', 'dan', 'ham']","['rt', 'juliusibrani', 'ariel heryanto', 'maxwalden', 'dont', 'be', 'fooled', 'by', 'the', 'moral', 'issue', 'pasal', 'zina', 'dalam', 'rkuhp', 'langgar', 'prinsip', 'hukum', 'dan', 'ham']","['rt', 'juliusibrani', 'ariel heryanto', 'maxwalden', 'dont', 'be', 'fooled', 'by', 'the', 'moral', 'issue', 'pasal', 'zina', 'rkuhp', 'langgar', 'prinsip', 'hukum', 'ham']"
9,*bacain rkuhp. https://t.co/gNhaHzHqpN,bacain rkuhp cowok gnhahzhqpn,bacain rkuhp cowok gnhahzhqpn,"['bacain', 'rkuhp', 'cowok', 'gnhahzhqpn']","['bacain', 'rkuhp', 'cowok', 'gnhahzhqpn']","['bacain', 'rkuhp', 'cowok', 'gnhahzhqpn']"
