,Text,Polarity,Sentimen
0,kaesangp keren yang situ mirip sehun mas kaesang mirip siapa,0,0
1,abu_waras berarti paspampres kemarin salah langsung reaktif ketika desta nyolek perut mas kaesang karena ternya cowok tzdlxhzv,1,1
2,rt cerry sukses festival budaya dalam rangka tasyakuran pernikahan kaesang dan erina yang digelar pada hari minggu lalu semua masya,0,0
3,bikin kaget warganet kaesang pangarep sudah berani unggah konten sensitif di twitter cowok xhwjjd,1,1
4,rt florenciaalmnd pertunjukan tradisional ini akan menguatkan identitas ke indonesia an masyarakat solo dan sekitarnya sekaligus memperk,0,0
5,rt florenciaalmnd tidak hanya pesta rakyat masyarakat dan tamu undangan juga akan dihibur dengan kesenian tradisional seperti tari tarian,0,0
6,rt kompastv beginilah kesiapan panglima tni andika perkasa dan istri hetty andika perkasa sebelum menghadiri resepsi kaesang dan erina,1,1
7,rt florenciaalmnd sekedar informasi ada sebanyak makanan gratis siap dibagikan kepada warga sekitar sembilan panggung hiburan jug,1,1
8,rt florenciaalmnd pernikahan kak kaesang dan kak erina gudono sarat akan budaya jawa hal ini menunjukkan bahwa keluarga presiden joko wi,1,1
9,rt florenciaalmnd hal yang selalu floren perhatikan dan mengamati setiap kali bapak presiden jokowi menggelar pernikahan buat putra putri,0,0
10,rt riyadisugeng dengan konsep kekeluargaan bersama sama acara hajatan presiden jokowi ngunduh mantu dan tasyakuran kaesang erina,1,1
11,rt riyadisugeng erick thohir sebagai ketua panitia pernikahan kaesang erina dekat dengan kaesang yang sudah dianggap seperti kepona,0,0
12,kaesangp pasti mas kaesang enggak tahu tamunya,1,1
13,santorinissun salah itu kata nya bapak nya wali kota pak deh gibran walikota gibran kakak nya kahiyang jadi panggil cowok lqikvxgf,0,0
14,rt riyadisugeng menteri bumn erick thohir disambut meriah relawan jokowi ada belasan ribu relawan dari berbagai kota yang hadir untu,0,0
15,aku senang banget lihat komentar di akun mas kaesang berasa sama teman banget heran,1,1
16,rt jokowi menerima sheikh khalid bin mohamed bin zayed al nahyan dari persatuan emirat arab di masjid raya sheikh zayed solo sore tadi,1,1
17,prabowo tampak sempat salim dengan megawati lebih baik prabowo cowok kdnqcgx dekade,1,1
18,rt retnowonosari menurut menteri bumn erickthohir berpendapat kota solo jangan sampai kehilangan budayanya pernikahan kaesang erina,0,0
19,rt retnowonosari erick thohir itu membantu presiden jokowi sebagai orang pribadi bukan sebagai menteri beliau sudah seperti saudara dan me,0,0
20,rt florenciaalmnd bapak bapak doktoral yang terhormat sini baca utas floren iya semoga tercerahkan pak pernikahan kak kaesang dan,1,1
21,momen prabowo salim dengan megawati di tasyakuran kaesang lebih baik prabowo cowok kdnqcosp dekade,1,1
22,baju prabowo serupa dengan baju para menteri kabinet indonesi maju beskap hitam menjadi seragam para anak buah jok cowok invfmtof,0,0
23,hukum menelantarkan anak dalam islam baca cowok gsriplvs trend alhamdulillah kaesang pagiii senin cowok bzlupzvpz,1,1
24,pakai blangkon dan beskap hitam prabowo hadiri resepsi kaesang erina lebih baik prabowo cowok auokhzgys dekade,0,0
25,marquez__ itu surabaya amp keluarga besar ct amp keluarga mau ke tasyakuran kaesang rasanya hal ini enggak masalah karena rombong cowok hqgimvtez,0,0
26,rt txtdarishawol taekey debut di twitter kak kaesang shinee shinee key taemin cowok dpzuoxnx,1,1
