,tweet,text_cleaned,text_normal,text_tokenize,text_stemming,text_filtering,polarity_score,polarity
0,"@kaesangp Keren yang situ mirip sehun, mas kaesang mirip siapa?",kaesangp keren yang situ mirip sehun mas kaesang mirip siapa,kaesangp keren yang situ mirip sehun mas kaesang mirip siapa,"['kaesangp', 'keren', 'yang', 'situ', 'mirip', 'sehun', 'mas', 'kaesang', 'mirip', 'siapa']","['kaesangp', 'keren', 'yang', 'situ', 'mirip', 'hun', 'mas', 'kaesang', 'mirip', 'siapa']","['kaesangp', 'keren', 'situ', 'hun', 'mas', 'kaesang']",-8,0
1,@abu_waras Berarti paspampres kemarin g salah langsung reaktif ketika Desta nyolek perut mas Kaesang. Karena ternya… https://t.co/8TZdLXHz3V,abu_waras berarti paspampres kemarin salah langsung reaktif ketika desta nyolek perut mas kaesang karena ternya cowok tzdlxhzv,abu_waras berarti paspampres kemarin salah langsung reaktif ketika desta nyolek perut mas kaesang karena ternya cowok tzdlxhzv,"['abu_waras', 'berarti', 'paspampres', 'kemarin', 'salah', 'langsung', 'reaktif', 'ketika', 'desta', 'nyolek', 'perut', 'mas', 'kaesang', 'karena', 'ternya', 'cowok', 'tzdlxhzv']","['abu waras', 'arti', 'paspampres', 'kemarin', 'salah', 'langsung', 'reaktif', 'ketika', 'desta', 'nyolek', 'perut', 'mas', 'kaesang', 'karena', 'ter', 'cowok', 'tzdlxhzv']","['abu waras', 'arti', 'paspampres', 'kemarin', 'salah', 'langsung', 'reaktif', 'desta', 'nyolek', 'perut', 'mas', 'kaesang', 'ter', 'cowok', 'tzdlxhzv']",0,1
2,"RT @Cerry0709: Sukses,, Festival budaya dalam rangka tasyakuran pernikahan Kaesang dan Erina yang digelar pada hari minggu lalu.semua masya…",rt cerry sukses festival budaya dalam rangka tasyakuran pernikahan kaesang dan erina yang digelar pada hari minggu lalu semua masya,rt cerry sukses festival budaya dalam rangka tasyakuran pernikahan kaesang dan erina yang digelar pada hari minggu lalu semua masya,"['rt', 'cerry', 'sukses', 'festival', 'budaya', 'dalam', 'rangka', 'tasyakuran', 'pernikahan', 'kaesang', 'dan', 'erina', 'yang', 'digelar', 'pada', 'hari', 'minggu', 'lalu', 'semua', 'masya']","['rt', 'cerry', 'sukses', 'festival', 'budaya', 'dalam', 'rangka', 'tasyakur', 'nikah', 'kaesang', 'dan', 'erina', 'yang', 'gelar', 'pada', 'hari', 'minggu', 'lalu', 'semua', 'masya']","['rt', 'cerry', 'sukses', 'festival', 'budaya', 'rangka', 'tasyakur', 'nikah', 'kaesang', 'erina', 'gelar', 'minggu', 'masya']",-2,0
3,"Bikin Kaget Warganet, Kaesang Pangarep Sudah Berani Unggah 'Konten Sensitif' di Twitter  https://t.co/X95H2w5jJD",bikin kaget warganet kaesang pangarep sudah berani unggah konten sensitif di twitter cowok xhwjjd,bikin kaget warganet kaesang pangarep sudah berani unggah konten sensitif di twitter cowok xhwjjd,"['bikin', 'kaget', 'warganet', 'kaesang', 'pangarep', 'sudah', 'berani', 'unggah', 'konten', 'sensitif', 'di', 'twitter', 'cowok', 'xhwjjd']","['bikin', 'kaget', 'warganet', 'kaesang', 'pangarep', 'sudah', 'berani', 'unggah', 'konten', 'sensitif', 'di', 'twitter', 'cowok', 'xhwjjd']","['bikin', 'kaget', 'warganet', 'kaesang', 'pangarep', 'berani', 'unggah', 'konten', 'sensitif', 'twitter', 'cowok', 'xhwjjd']",2,1
4,"RT @FlorenciaAlmnd: pertunjukan tradisional ini akan menguatkan identitas ke-Indonesia-an masyarakat Solo dan sekitarnya, sekaligus memperk…",rt florenciaalmnd pertunjukan tradisional ini akan menguatkan identitas ke indonesia an masyarakat solo dan sekitarnya sekaligus memperk,rt florenciaalmnd pertunjukan tradisional ini akan menguatkan identitas ke indonesia an masyarakat solo dan sekitarnya sekaligus memperk,"['rt', 'florenciaalmnd', 'pertunjukan', 'tradisional', 'ini', 'akan', 'menguatkan', 'identitas', 'ke', 'indonesia', 'an', 'masyarakat', 'solo', 'dan', 'sekitarnya', 'sekaligus', 'memperk']","['rt', 'florenciaalmnd', 'tunjuk', 'tradisional', 'ini', 'akan', 'kuat', 'identitas', 'ke', 'indonesia', 'an', 'masyarakat', 'solo', 'dan', 'sekitar', 'sekaligus', 'memperk']","['rt', 'florenciaalmnd', 'tradisional', 'kuat', 'identitas', 'indonesia', 'an', 'masyarakat', 'solo', 'memperk']",-9,0
5,"RT @FlorenciaAlmnd: Tak hanya pesta rakyat, masyarakat dan tamu undangan juga akan dihibur dengan kesenian tradisional seperti tari-tarian.…",rt florenciaalmnd tidak hanya pesta rakyat masyarakat dan tamu undangan juga akan dihibur dengan kesenian tradisional seperti tari tarian,rt florenciaalmnd tidak hanya pesta rakyat masyarakat dan tamu undangan juga akan dihibur dengan kesenian tradisional seperti tari tarian,"['rt', 'florenciaalmnd', 'tidak', 'hanya', 'pesta', 'rakyat', 'masyarakat', 'dan', 'tamu', 'undangan', 'juga', 'akan', 'dihibur', 'dengan', 'kesenian', 'tradisional', 'seperti', 'tari', 'tarian']","['rt', 'florenciaalmnd', 'tidak', 'hanya', 'pesta', 'rakyat', 'masyarakat', 'dan', 'tamu', 'undang', 'juga', 'akan', 'hibur', 'dengan', 'seni', 'tradisional', 'seperti', 'tari', 'tari']","['rt', 'florenciaalmnd', 'pesta', 'rakyat', 'masyarakat', 'tamu', 'undang', 'hibur', 'seni', 'tradisional', 'tari', 'tari']",-8,0
6,RT @KompasTV: Beginilah kesiapan Panglima TNI Andika Perkasa dan Istri Hetty Andika Perkasa sebelum menghadiri resepsi Kaesang dan Erina. H…,rt kompastv beginilah kesiapan panglima tni andika perkasa dan istri hetty andika perkasa sebelum menghadiri resepsi kaesang dan erina,rt kompastv beginilah kesiapan panglima tni andika perkasa dan istri hetty andika perkasa sebelum menghadiri resepsi kaesang dan erina,"['rt', 'kompastv', 'beginilah', 'kesiapan', 'panglima', 'tni', 'andika', 'perkasa', 'dan', 'istri', 'hetty', 'andika', 'perkasa', 'sebelum', 'menghadiri', 'resepsi', 'kaesang', 'dan', 'erina']","['rt', 'kompastv', 'begini', 'kesiap', 'panglima', 'tni', 'andika', 'perkasa', 'dan', 'istri', 'hetty', 'andika', 'perkasa', 'belum', 'hadir', 'resepsi', 'kaesang', 'dan', 'erina']","['rt', 'kompastv', 'kesiap', 'panglima', 'tni', 'andika', 'perkasa', 'istri', 'hetty', 'andika', 'perkasa', 'hadir', 'resepsi', 'kaesang', 'erina']",11,1
7,RT @FlorenciaAlmnd: sekedar Informasi ada Sebanyak 16.000 makanan gratis siap dibagikan kepada warga sekitar. Sembilan panggung hiburan jug…,rt florenciaalmnd sekedar informasi ada sebanyak makanan gratis siap dibagikan kepada warga sekitar sembilan panggung hiburan jug,rt florenciaalmnd sekedar informasi ada sebanyak makanan gratis siap dibagikan kepada warga sekitar sembilan panggung hiburan jug,"['rt', 'florenciaalmnd', 'sekedar', 'informasi', 'ada', 'sebanyak', 'makanan', 'gratis', 'siap', 'dibagikan', 'kepada', 'warga', 'sekitar', 'sembilan', 'panggung', 'hiburan', 'jug']","['rt', 'florenciaalmnd', 'dar', 'informasi', 'ada', 'banyak', 'makan', 'gratis', 'siap', 'bagi', 'kepada', 'warga', 'sekitar', 'sembilan', 'panggung', 'hibur', 'jug']","['rt', 'florenciaalmnd', 'dar', 'informasi', 'makan', 'gratis', 'warga', 'sembilan', 'panggung', 'hibur', 'jug']",8,1
8,"RT @FlorenciaAlmnd: pernikahan kak Kaesang dan kak Erina Gudono sarat akan budaya Jawa, hal ini menunjukkan bahwa keluarga Presiden Joko Wi…",rt florenciaalmnd pernikahan kak kaesang dan kak erina gudono sarat akan budaya jawa hal ini menunjukkan bahwa keluarga presiden joko wi,rt florenciaalmnd pernikahan kak kaesang dan kak erina gudono sarat akan budaya jawa hal ini menunjukkan bahwa keluarga presiden joko wi,"['rt', 'florenciaalmnd', 'pernikahan', 'kak', 'kaesang', 'dan', 'kak', 'erina', 'gudono', 'sarat', 'akan', 'budaya', 'jawa', 'hal', 'ini', 'menunjukkan', 'bahwa', 'keluarga', 'presiden', 'joko', 'wi']","['rt', 'florenciaalmnd', 'nikah', 'kak', 'kaesang', 'dan', 'kak', 'erina', 'gudono', 'sarat', 'akan', 'budaya', 'jawa', 'hal', 'ini', 'tunjuk', 'bahwa', 'keluarga', 'presiden', 'joko', 'wi']","['rt', 'florenciaalmnd', 'nikah', 'kak', 'kaesang', 'kak', 'erina', 'gudono', 'sarat', 'budaya', 'jawa', 'keluarga', 'presiden', 'joko', 'wi']",1,1
9,RT @FlorenciaAlmnd: hal yang selalu floren perhatikan dan mengamati setiap kali bapak Presiden Jokowi menggelar pernikahan buat putra-putri…,rt florenciaalmnd hal yang selalu floren perhatikan dan mengamati setiap kali bapak presiden jokowi menggelar pernikahan buat putra putri,rt florenciaalmnd hal yang selalu floren perhatikan dan mengamati setiap kali bapak presiden jokowi menggelar pernikahan buat putra putri,"['rt', 'florenciaalmnd', 'hal', 'yang', 'selalu', 'floren', 'perhatikan', 'dan', 'mengamati', 'setiap', 'kali', 'bapak', 'presiden', 'jokowi', 'menggelar', 'pernikahan', 'buat', 'putra', 'putri']","['rt', 'florenciaalmnd', 'hal', 'yang', 'selalu', 'floren', 'perhati', 'dan', 'amat', 'tiap', 'kali', 'bapak', 'presiden', 'jokowi', 'gelar', 'nikah', 'buat', 'putra', 'putri']","['rt', 'florenciaalmnd', 'floren', 'perhati', 'kali', 'presiden', 'jokowi', 'gelar', 'nikah', 'putra', 'putri']",-1,0
